catchment_id,du,x,y,sourceName,identifier,comid
cat-3051110,d,-123.24020342588535,47.51633814529587,NHDPlus comid,24285680,24285680
cat-3051145,u,-123.21318266660175,47.5169669109627,NHDPlus comid,24285678,24285678
cat-800473,d,-79.18433619131936,41.42554288142021,NHDPlus comid,6875899,6875899
cat-800478,u,-79.21780199783039,41.40769572673501,NHDPlus comid,6875909,6875909
cat-488191,d,-85.61771595952767,33.10954758669389,NHDPlus comid,22035029,22035029
cat-488192,u,-85.59324422378339,33.127631983379075,NHDPlus comid,22034997,22034997
cat-116254,d,-75.8122718832981,39.97511741725535,NHDPlus comid,932040160,932040160
cat-116294,u,-75.803846280767,40.00491932145513,NHDPlus comid,4648632,4648632
cat-1541985,d,-101.54227194331948,39.74330119007327,NHDPlus comid,8176181,8176181
cat-1541930,u,-101.64023764833156,39.59501653984702,NHDPlus comid,8176281,8176281
cat-1563489,d,-103.73482447862727,39.80456236998865,NHDPlus comid,215779,215779
cat-1563491,u,-103.76969786691234,39.7937034604633,NHDPlus comid,215807,215807
cat-1833260,d,-105.54674969004056,46.76035543234008,NHDPlus comid,21878169,21878169
cat-1833265,u,-105.54099023874232,46.8030143173872,NHDPlus comid,21878075,21878075
cat-1084563,d,-92.48037386239152,42.29849992286765,NHDPlus comid,22475323,22475323
cat-1084555,u,-92.41743785867912,42.34458290914287,NHDPlus comid,22475059,22475059
cat-1556373,d,-100.55247953567608,41.49360740271003,NHDPlus comid,940210172,940210172
cat-1556369,u,-100.7168659816449,41.52142760524781,NHDPlus comid,17351387,17351387
cat-2179672,d,-93.98114307953328,36.82549957598983,NHDPlus comid,7591631,7591631
cat-2179673,u,-93.94648259886436,36.83655397069995,NHDPlus comid,7591629,7591629
cat-2984919,d,-115.33385106144952,47.8761811703257,NHDPlus comid,22976996,22976996
cat-2984916,u,-115.28138787256133,47.77686532075759,NHDPlus comid,22977016,22977016
cat-2867753,d,-119.82960043428822,39.07682348333472,NHDPlus comid,8920085,8920085
cat-2867762,u,-119.81195569590024,39.013934703917215,NHDPlus comid,8920195,8920195
cat-1013975,d,-87.97909934821337,35.64152886364511,NHDPlus comid,19542314,19542314
cat-1013970,u,-87.90706546590967,35.634323657417745,NHDPlus comid,19542326,19542326
cat-1557759,d,-99.33046081182988,40.81539719223588,NHDPlus comid,7288266,7288266
cat-1557757,u,-99.38941828284676,40.852690837047135,NHDPlus comid,7288014,7288014
cat-1073489,d,-88.91550796774266,41.73308455365995,NHDPlus comid,14762883,14762883
cat-1073488,u,-88.94918955738606,41.7100716449411,NHDPlus comid,14762295,14762295
cat-105665,d,-78.24555315439271,38.4351610357121,NHDPlus comid,8468775,8468775
cat-105705,u,-78.26111932071595,38.42496996874128,NHDPlus comid,8468777,8468777
cat-406548,d,-81.48993635843598,27.16110057963697,NHDPlus comid,16727676,16727676
cat-406543,u,-81.48402284717456,27.214821821548348,NHDPlus comid,16726628,16726628
cat-2729386,d,-112.06882198642474,36.06902200230422,NHDPlus comid,20735531,20735531
cat-2729384,u,-112.03149989570568,36.01335075686073,NHDPlus comid,20735553,20735553
cat-414629,d,-83.68761160211233,34.180525925199206,NHDPlus comid,1047357,1047357
cat-414635,u,-83.64774012635807,34.19508038270336,NHDPlus comid,1047255,1047255
cat-3320882,d,-117.38584011505613,37.02791044519887,NHDPlus comid,20223081,20223081
cat-3320876,u,-117.59182218206382,37.27027599705821,NHDPlus comid,20222697,20222697
cat-2519534,d,-106.24007808058832,37.08079931289136,NHDPlus comid,17875541,17875541
cat-2519535,u,-106.21252191977489,37.09644283776628,NHDPlus comid,17875501,17875501
cat-1064657,d,-90.90082066653156,38.41666198939516,NHDPlus comid,5076776,5076776
cat-1064656,u,-90.89952775827926,38.43898212728156,NHDPlus comid,5076734,5076734
cat-2878980,d,-116.35487414396287,38.154749081976185,NHDPlus comid,11395290,11395290
cat-2878971,u,-116.4059315482627,38.087223921359296,NHDPlus comid,11395618,11395618
cat-3045831,d,-124.15664763855692,43.14297324980432,NHDPlus comid,23915529,23915529
cat-3045833,u,-123.92039180335496,43.20581879491704,NHDPlus comid,23915155,23915155
cat-1549884,d,-95.49168576893462,41.009912670308815,NHDPlus comid,19209751,19209751
cat-1549890,u,-95.5132090280523,41.09235783332624,NHDPlus comid,19209273,19209273
cat-3052745,d,-118.629902051347,42.66026069614334,NHDPlus comid,24013697,24013697
cat-3052844,u,-118.6408603203795,42.64269917011352,NHDPlus comid,24013695,24013695
cat-1101225,d,-93.26831158096928,43.982912848554456,NHDPlus comid,2034583,2034583
cat-1101298,u,-93.26266502506978,43.95163876432188,NHDPlus comid,2034413,2034413
cat-1101341,d,-93.38373495998248,44.03704855174862,NHDPlus comid,2033305,2033305
cat-1101344,u,-93.34354790185162,44.0392678531374,NHDPlus comid,2033289,2033289
cat-406686,d,-81.13560740125877,27.2930768290323,NHDPlus comid,21491196,21491196
cat-406685,u,-81.02354562075499,27.222409078928816,NHDPlus comid,21491198,21491198
cat-408072,d,-83.79402625161599,30.888307467343203,NHDPlus comid,2066734,2066734
cat-408071,u,-83.7886667529845,30.8630891815474,NHDPlus comid,2066766,2066766
cat-1308219,d,-92.35134787550884,33.08939931151192,NHDPlus comid,17915427,17915427
cat-1308222,u,-92.41446112413678,33.10033755320305,NHDPlus comid,17915245,17915245
cat-3291552,d,-120.79123296794,41.38873516524411,NHDPlus comid,7928649,7928649
cat-3292020,u,-120.37815503778008,41.48881196917292,NHDPlus comid,7927289,7927289
cat-110804,d,-79.60562778406812,37.63269508406034,NHDPlus comid,8522647,8522647
cat-110802,u,-79.56872641582464,37.65136780312428,NHDPlus comid,8522571,8522571
cat-485403,d,-87.84773556276372,32.21633235536851,NHDPlus comid,18543124,18543124
cat-485408,u,-87.78625099592746,32.19527460958262,NHDPlus comid,18543200,18543200
cat-1803533,d,-102.72512350989474,45.641688012619824,NHDPlus comid,16187366,16187366
cat-1803528,u,-102.79496310129552,45.59983195913123,NHDPlus comid,16187612,16187612
cat-817822,d,-87.36830529248876,38.72672803491989,NHDPlus comid,18470756,18470756
cat-817831,u,-87.34130515746709,38.73736630048265,NHDPlus comid,18470754,18470754
cat-1086512,d,-91.12863145585794,41.87529874036679,NHDPlus comid,17555801,17555801
cat-1086498,u,-91.16126782519436,41.880111317754505,NHDPlus comid,17555753,17555753
cat-105357,d,-76.90725257794725,37.90085772545262,NHDPlus comid,8478064,8478064
cat-105339,u,-76.81831304755201,37.886526811145245,NHDPlus comid,8479146,8479146
cat-2981632,d,-115.287850572371,46.013467225370086,NHDPlus comid,23580727,23580727
cat-2982000,u,-114.6429485376757,46.27688428849843,NHDPlus comid,23581111,23581111
cat-1497793,d,-100.87911484207989,47.92576994287336,NHDPlus comid,14175803,14175803
cat-1497789,u,-100.93852810745962,47.93322455386996,NHDPlus comid,14175825,14175825
cat-1579056,d,-95.47159467984515,38.40522301160331,NHDPlus comid,10124008,10124008
cat-1579062,u,-95.44927981301032,38.38199123471374,NHDPlus comid,10124180,10124180
cat-2423343,d,-98.85913352392392,30.943342220471344,NHDPlus comid,5757144,5757144
cat-2423374,u,-98.85272472125438,30.960493654163955,NHDPlus comid,5757116,5757116
cat-2432294,d,-93.71287337821558,30.84939560453724,NHDPlus comid,8330426,8330426
cat-2432296,u,-93.7469685918532,30.872579569375816,NHDPlus comid,8330670,8330670
cat-3026026,d,-114.89473402112664,44.97169117363801,NHDPlus comid,23534651,23534651
cat-2987912,u,-114.8939338846169,44.95428333189395,NHDPlus comid,23534527,23534527
cat-1862269,d,-98.8595644756056,42.77096755405415,NHDPlus comid,11645257,11645257
cat-1862272,u,-98.83441298940548,42.73802342136313,NHDPlus comid,11645703,11645703
cat-3036970,d,-116.85144715699364,47.90832380284285,NHDPlus comid,23015076,23015076
cat-3036972,u,-117.0270646958024,47.86522296885937,NHDPlus comid,23015830,23015830
cat-2734838,d,-111.23820764242129,31.414132140339827,NHDPlus comid,15836971,15836971
cat-2734839,u,-111.26205970352406,31.43840970099744,NHDPlus comid,15836873,15836873
cat-482932,d,-87.84929220746237,33.174407068887525,NHDPlus comid,18617076,18617076
